phylum	class	order	family	genus	species
Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae	Sinobaca	Sinobaca qinghaiensis
Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus	Solibacillus sp. R5-41
Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae	Sporolactobacillus	Sporolactobacillus laevolacticus
Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae	Sporolactobacillus	Sporolactobacillus nakayamae
Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae	Sporolactobacillus	Sporolactobacillus pectinivorans
Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae	Sporolactobacillus	Sporolactobacillus shoreae
Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	Sporosarcina globispora
Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	Sporosarcina koreensis
Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	Sporosarcina psychrophila
Firmicutes	Bacilli	Bacillales	Bacillaceae	Terribacillus	Terribacillus halophilus
Firmicutes	Bacilli	Bacillales	Bacillaceae	Terribacillus	Terribacillus saccharophilus
Firmicutes	Bacilli	Bacillales	Bacillaceae	Terribacillus	Terribacillus sp. 7520-G
Firmicutes	Bacilli	Bacillales	Bacillaceae	Terrilactibacillus	Terrilactibacillus laevilacticus
Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterium	Thermoanaerobacterium xylanolyticum
Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Tumebacillus	Tumebacillus flagellatus
Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Tumebacillus	Tumebacillus permanentifrigoris
Firmicutes	Bacilli	Bacillales	Planococcaceae	Ureibacillus	Ureibacillus thermophilus
Firmicutes	Bacilli	Bacillales	Planococcaceae	Ureibacillus	Ureibacillus thermosphaericus
Firmicutes	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus halodenitrificans
Firmicutes	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus senegalensis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus soli
Firmicutes	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus sp. 6R
Firmicutes	Bacilli	Bacillales	Planococcaceae	Viridibacillus	Viridibacillus sp. OK051
Firmicutes	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	[Bacillus] sp. KCTC 13219
